Customer ID,Status,Points,Number of Flights (prev year),"Flight Value (EUR, prev year)",Country,Age,Enrollment Date,Point Redemption (prev year),"Ancillary Revenue (EUR, prev year)"
1001,Frequent Traveller,663,1,36671,Spain,79,2000-01-01,571,1629
1002,HON Circle Member,8789,48,33128,USA,78,2000-01-09,4266,1789
1003,Senator,1946,49,23865,UK,37,2000-01-18,1740,2813
1004,Frequent Traveller,558,42,22022,Spain,74,2000-01-27,538,4060
1005,Base,3,38,17222,Switzerland,22,2000-02-05,3,3210
1006,Base,127,40,33148,Spain,53,2000-02-13,92,3309
1007,Frequent Traveller,671,40,115,UK,45,2000-02-22,87,839
1008,Base,168,49,11340,Canada,67,2000-03-02,105,2694
1009,Frequent Traveller,800,15,21046,Canada,61,2000-03-11,718,2580
1010,Base,247,44,37270,France,61,2000-03-19,207,1007
1011,Base,381,6,19243,USA,39,2000-03-28,100,1505
1012,Base,365,24,10689,Netherlands,24,2000-04-06,85,4619
1013,Base,21,39,4756,Italy,55,2000-04-15,7,4790
1014,Frequent Traveller,775,3,27012,Canada,46,2000-04-24,281,3002
1015,Base,204,23,3710,Switzerland,48,2000-05-02,33,4986
1016,Frequent Traveller,730,28,38569,Switzerland,54,2000-05-11,442,3430
1017,Senator,4597,15,11990,USA,50,2000-05-20,9,4108
1018,Base,235,5,35507,Germany,63,2000-05-29,79,1549
1019,Frequent Traveller,906,2,32779,Switzerland,36,2000-06-06,772,2288
1020,Base,374,22,4505,USA,20,2000-06-15,39,1665
1021,Base,166,40,35165,UK,19,2000-06-24,63,1496
1022,Base,405,45,1675,Spain,23,2000-07-03,364,3154
1023,Base,96,41,27222,USA,30,2000-07-12,46,4723
1024,Frequent Traveller,877,28,767,France,65,2000-07-20,432,585
1025,Senator,4667,18,27517,Netherlands,25,2000-07-29,3206,2833
1026,Base,434,7,29895,Canada,19,2000-08-07,387,3057
1027,Base,261,29,24489,Spain,40,2000-08-16,61,3821
